付録,ふろく
文化財,ぶんかざい
分業,ぶんぎょう
文語,ぶんご
分子,ぶんし
噴出,ふんしゅつ
分母,ぶんぼ
分離,ぶんり
ペア,ペア
兵器,へいき
閉鎖,へいさ
兵士,へいし
平常,へいじょう
ベース,ベース
ベスト,ベスト
縁,へり
へりくだる,へりくだる
便宜,べんぎ
弁護,べんご
弁償,べんしょう
保育,ほいく
ボイコット,ボイコット
防火,ぼうか
奉仕,ほうし
報酬,ほうしゅう
放出,ほうしゅつ
放置,ほうち
膨張,ぼうちょう
褒美,ほうび
放り込む,ほうりこむ
放り出す,ほうりだす
暴力,ぼうりょく
飽和,ほうわ
ホース,ホース
ポーズ,ポーズ
ホール,ホール
保温,ほおん
捕獲,ほかく
保管,ほかん
募金,ぼきん
牧師,ぼくし
捕鯨,ほげい
惚ける,ぼける
保険,ほけん
母校,ぼこう
母国,ぼこく
誇る,ほこる
綻びる,ほころびる
干し～,ほし～
ポジション,ポジション
保守,ほしゅ
補助,ほじょ
舗装,ほそう
補足,ほそく
墓地,ぼち
発作,ほっさ
没収,ぼっしゅう
ポット,ポット
ほとり,ほとり
ぼやく,ぼやく
保養,ほよう
捕虜,ほりょ
ボルト,ボルト
本気,ほんき
本音,ほんね
本場,ほんば
ポンプ,ポンプ
本名,ほんみょう
マーク,マーク
マイ～,マイ～
舞う,まう
真上,まうえ
任す,まかす
負かす,まかす
誠,まこと
勝る,まさる
～増し,～増し
真下,ました
まして,まして
麻酔,ますい
待ち合わせ,まちあわせ
待ち望む,まちのぞむ
末期,まっき
真っ二つ,まっぷたつ
まと,まと
纏め,まとめ
免れる,まぬがれる
招き,まねき
麻痺,まひ
眉,まゆ
鞠,まり
まるっきり,まるっきり
満場,まんじょう
真ん丸い,まんまるい
真ん円い,まんまるい
～味,～み
見合い,みあい
見合わせる,みあわせる
未開,みかい
味覚,みかく
幹,みき
見苦しい,みぐるしい
見込み,みこみ
未婚,みこん
微塵,みじん
水気,みずけ
ミセス,ミセス
溝,みぞ
満たす,みたす
乱す,みだす
未知,みち
身近,みぢか
密集,みっしゅう
密度,みつど
未定,みてい
見なす,みなす
身なり,みなり
峰,みね
身の回り,みのまわり
見計らう,みはからう
身振り,みぶり
脈,みゃく
未練,みれん
民宿,みんしゅく
無意味,むいみ
ムード,ムード
無口,むくち
婿,むこ
無効,むこう
無言,むごん
むしる,むしる
結び,むすび
結び付き,むすびつき
結び付く,むすびつく
無線,むせん
無駄遣い,むだづかい
無断,むだん
無知,むち
無茶,むちゃ
無念,むねん
無能,むのう
無用,むよう
斑,むら
無論,むろん
名称,めいしょう
命中,めいちゅう
名簿,めいぼ
名誉,めいよ
明瞭,めいりょう
目方,めかた
恵み,めぐみ
恵む,めぐむ
目覚しい,めざましい
召す,めす
雌,めす
目付き,めつき
目途,めど
目盛,めもり
メロディー,メロディー
～網,～もう
申込,もうしこみ
申し出る,もうしでる
申し分,もうしぶん
もがく,もがく
模型,もけい
模索,もさく
もしかして,もしかして
目下,もっか
もてる,もてる
もはや,もはや
模範,もはん
模倣,もほう
もめる,もめる
股,もも
腿,もも
漏らす,もらす
盛り上がる,もりあがる
漏る,もる
漏れる,もれる
脆い,もろい
もろに,もろに
野外,やがい
～薬,～やく
夜具,やぐ
役職,やくしょく
役場,やくば
やけに,やけに
屋敷,やしき
野心,やしん
安っぽい,やすっぽい
野生,やせい
奴,やつ
闇,やみ
病む,やむ
ややこしい,ややこしい
やりとおす,やりとおす
やりとげる,やりとげる
和らげる,やわらげる
ヤング,ヤング
～油,～ゆ
優位,ゆうい
融資,ゆうし
優美,ゆうび
有力,ゆうりょく
故,ゆえ
歪む,ゆがむ
濯ぐ,ゆすぐ
ゆとり,ゆとり
弓,ゆみ
揺らぐ,ゆらぐ
緩む,ゆるむ
養護,ようご
用紙,ようし
余暇,よか
予感,よかん
預金,よきん
欲,よく
欲深い,よくふかい
避ける,よける
予言,よげん
汚れ,よごれ
良し,よし
余所見,よそみ
余地,よち
与党,よとう
呼び止める,よびとめる
夜更け,よふけ
余程,よほど
読み上げる,よみあげる
～寄り,～より
寄り掛かる,よりかかる
世論,よろん
弱る,よわる
来場,らいじょう
ライス,ライス
落下,らっか
ランプ,ランプ
リード,リード
理屈,りくつ
利子,りし
理性,りせい
利息,りそく
利点,りてん
略奪,りゃくだつ
流通,りゅうつう
領域,りょういき
了解,りょうかい
